admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
127.3,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout
142.5,1,0,0,0,1,0,19,0,13.9,-0.3,0.79,Graduate
124.8,1,0,0,0,1,0,19,0,10.8,1.4,1.74,Dropout
119.6,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate
141.5,0,0,0,1,0,0,45,0,13.9,-0.3,0.79,Graduate
114.8,0,0,1,1,1,0,50,0,16.2,0.3,-0.92,Graduate
128.4,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
113.1,1,0,0,0,1,0,22,0,15.5,2.8,-4.06,Dropout
129.3,0,0,0,1,0,1,21,1,16.2,0.3,-0.92,Graduate
123,1,0,1,0,0,0,18,0,8.9,1.4,3.51,Dropout
130.6,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
119.3,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
130.2,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Dropout
111.8,1,0,0,1,0,1,21,0,8.9,1.4,3.51,Graduate
137.1,1,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
120.7,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout
137.4,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Enrolled
127.3,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
136.3,1,0,0,1,0,0,20,0,10.8,1.4,1.74,Graduate
124.6,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Enrolled
120.3,0,0,0,1,0,1,21,0,11.1,0.6,2.02,Graduate
121.8,1,0,0,1,0,0,20,0,12.7,3.7,-1.7,Enrolled
125.5,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
114.9,1,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
123.9,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
157,1,0,1,1,0,1,18,0,7.6,2.6,0.32,Enrolled
116.4,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,Graduate
131,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
122.1,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
118.8,1,0,0,1,1,0,19,0,16.2,0.3,-0.92,Enrolled
150,0,0,0,1,1,0,21,0,16.2,0.3,-0.92,Enrolled
130,1,0,0,1,1,0,20,0,8.9,1.4,3.51,Graduate
138.8,0,0,0,0,1,0,18,0,8.9,1.4,3.51,Enrolled
134.5,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
131.4,0,0,0,1,1,0,34,0,13.9,-0.3,0.79,Graduate
102.5,0,0,1,0,1,0,37,0,8.9,1.4,3.51,Dropout
128.8,1,0,0,1,1,0,43,0,7.6,2.6,0.32,Dropout
122.9,0,0,0,1,0,0,55,0,16.2,0.3,-0.92,Dropout
113.9,1,0,0,1,0,0,39,0,7.6,2.6,0.32,Graduate
120,0,0,1,0,0,0,20,1,12.4,0.5,1.79,Dropout
121.1,0,0,1,1,0,0,18,0,12.7,3.7,-1.7,Dropout
120.4,1,0,0,1,0,0,22,0,8.9,1.4,3.51,Graduate
100.6,1,1,0,1,0,0,22,0,11.1,0.6,2.02,Graduate
121.4,0,0,0,0,0,0,20,0,12.4,0.5,1.79,Dropout
109.7,0,0,0,1,0,0,29,0,16.2,0.3,-0.92,Dropout
134.1,0,0,0,1,0,0,24,0,7.6,2.6,0.32,Enrolled
127.6,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
132.4,1,0,0,1,0,1,22,0,11.1,0.6,2.02,Graduate
133.4,0,0,0,1,0,1,21,0,12.4,0.5,1.79,Graduate
126.1,0,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
